Ime,Kategorija,Težavnost,Čas (min),Hranilna vrednost (kcal/100g),Koraki,Sestavine,Opis,Dolžina opisa (besede),Dolžina opisa (črke)
Slivovi cmoki iz skutnega testa,Slovenska,2,60,332,4,8,"S slivami nadevani cmočki iz rahlega skutnega testa, bodo popestrili vaš poletni jedilnik. Postrežete jih lahko kot glavno jed ali kot toplo sladico.",23,127
Pirina solata z zelenjavo in mocarelo,Brez mesa,1,40,118,4,13,"Lahka in barvita jed, ki ne vsebuje mesa in je polna sezonske zelenjave. Namesto pire lahko uporabite tudi ješprenj ali ajdovo kašo. Solato lahko pripravite tudi dan prej in jo odnesete v službo.",33,163
Turška umešana jajca z zelenjavo (menemen),Jajčne jedi,1,30,62,5,8,"Menemen je nekakšna turška različica sataraša. Jedema je skupno, da sta pripravljeni iz jajc, paradižnika in paprike, razlikujeta pa se v uporabi začimb. V Turčiji menemen običajno pripravljajo za zajtrk, postrežejo pa ga s svežim ali popečenim kruhom, ki ga trgajo na kose in pomakajo v slastno omako. Umešana jajca lahko popestrite tudi z dodatkom feta sira ali grškega jogurta.",60,321
Paprike z mletim mesom in rižem iz ene ponve,Glavne jedi,1,45,131,6,13,"Ko ne boste imeli časa ali volje, da bi se lotili 'filanih' paprik, lahko s podobnimi sestavinami hitro in enostavno pripravite okusen obrok. Dodaten plus je ta, da boste umazali samo eno ponev.",33,162
Pikantne polnjene paprike s tuno in kaprami,Domači pripravki,1,75,84,9,11,"Poletje se počasi končuje, z njim pa je povezano tudi vlaganje in shranjevanje, s katerim poskušamo plodove narave in vrta 'zapreti v kozarček', da lahko v odličnih okusih uživamo celo zimo oz. do naslednje sezone. V naši družini že dolgo negujemo recept vlaganja paprik na malo drugačen način. Pikantne paprike, polnjene s tuno in kaprami, ter zalite z oljem, so specialiteta, ki ji ni para. Še zlasti bodo navdušile ljubitelje pikantnih okusov.",72,375
Drobljenec z jabolki in robidnicami,Sladice,1,35,231,4,9,"Hitro pripravljena sadna sladica, ki vas zagotovo ne bo razočarala.",10,58
Fino slivovo pecivo,Sladice,1,73,272,7,14,"Toplo poletje prinaša tudi obilo sočnih in zrelih sliv, ki kar kličejo po tem, da jih uporabimo na različne okusne načine. Sama obožujem peciva, ki imajo krhkost in sočnost, ki so kremasta in polnega okusa, tako da še dolgo ostanejo v spominu. In da se tudi prilegajo k sladkemu vinu, likerju, kavi ... Skratka, to slivovo pecivo je točno takšno, pa še videti je zelo lepo.",66,308
Domači njoki z omako iz svežega paradižnika,Italijanska,1,90,71,9,13,"Jed se vam na prvi pogled morda ne zdi nič posebnega, a nam verjemite, da je tako okusna, da boste krožnike pomazali do zadnje kapljice. Seveda lahko uporabite tudi kupljene njoke, a vam svetujemo, da se malce potrudite, saj se domači njoki preprosto ne morejo primerjati s kupljenimi. To je ena tistih jedi, ko skorajda ne morete verjeti, da lahko iz preprostih vsakdanjih sestavin skuhate nekaj tako okusnega.",68,344
Jajčevci z lečo iz pečice,Brez mesa,1,50,102,6,12,"Odlična ideja, kako lahko uporabite jajčevce. Jed je brezmesna, leča pa poskrbi za potrebne beljakovine. Mi smo uporabili zeleno lečo, vi lahko uporabite katero drugo, v tem primeru boste morali samo nekoliko prilagoditi čas kuhanja. Za vegansko različico uporabite veganski sir.",41,239
Krhko pecivo s kislo smetano in borovnicami,Sladice,1,90,298,7,14,Slastno pecivo s krhko osnovo in sočnim nadevom.,8,41
